model,failure_time,disk_id
MA2,2019-07-29 23:23:17,50723
MA2,2019-03-22 09:57:00,43187
MA2,2019-03-22 09:57:09,87666
MA2,2019-03-22 09:57:49,59828
MA2,2019-03-22 09:57:52,80108
MA2,2019-03-22 09:57:52,44293
MA2,2019-11-20 20:13:54,75162
MA2,2019-03-22 10:27:01,91889
MA2,2019-03-22 10:25:30,3022
MA2,2019-02-24 02:03:14,99972
MA2,2019-03-22 10:26:50,6017
MA2,2019-03-22 10:24:20,82928
MA2,2019-03-22 10:26:44,3760
MA2,2019-11-22 15:53:22,7589
MA2,2018-10-13 01:03:31,35240
MA2,2019-03-22 10:25:11,119366
MA2,2018-12-29 09:48:43,83949
MA2,2019-03-22 10:33:32,105022
MA2,2019-03-22 10:33:33,83524
MA2,2018-07-05 12:26:00,23813
MA2,2019-03-22 10:33:47,51638
MA2,2019-03-22 10:33:47,66738
MA2,2019-03-22 10:33:22,68809
MA2,2019-03-16 04:53:49,89128
MA2,2019-03-22 09:59:58,24129
MA2,2019-11-23 01:02:04,2890
MA2,2019-03-22 10:33:32,6727
MA2,2019-03-22 10:00:00,77455
MA2,2019-03-22 10:30:31,20764
MA2,2019-03-22 10:24:31,78648
MA2,2019-03-22 10:25:23,59401
MA2,2019-03-22 10:24:51,83621
MA2,2019-03-22 10:27:59,79075
MA2,2019-03-22 10:25:39,102802
MA2,2019-03-22 10:24:40,56345
MA2,2019-03-22 10:26:48,27310
MA2,2019-03-22 10:25:21,9168
MA2,2019-03-22 10:27:11,56286
MA2,2019-03-22 10:25:23,32340
MA2,2019-03-22 10:25:33,88076
MA2,2019-03-22 10:25:43,5175
MA2,2019-03-22 10:25:11,55124
MA2,2018-11-24 03:22:38,107356
MA2,2019-03-22 10:24:48,86260
MA2,2018-09-20 10:30:01,98862
MA2,2019-11-10 21:07:07,3579
MA2,2019-12-29 12:22:07,50890
MA2,2019-03-22 10:25:43,78297
MA2,2019-03-22 10:24:46,26172
MA2,2019-03-22 10:27:14,99166
MA2,2019-11-29 14:38:10,60208
MA2,2019-03-22 10:26:59,51857
MA2,2019-03-22 10:31:10,66824
MA2,2019-03-22 10:33:32,111603
MA2,2019-03-22 10:30:21,44405
MA2,2019-03-22 10:30:44,116495
MA2,2019-03-22 10:31:21,92776
MA2,2019-03-22 10:31:19,103519
MA2,2019-03-22 10:32:59,14981
MA2,2019-03-22 10:29:47,93120
MA2,2019-03-22 10:31:03,37773
MA2,2019-03-22 10:33:17,9448
MA2,2019-03-22 10:30:41,76993
MA2,2019-03-22 10:31:52,53559
MA2,2019-03-22 10:29:28,44332
MA2,2019-03-22 10:29:10,85396
MA2,2019-03-22 10:31:28,110222
MA2,2019-03-22 10:30:29,72619
MA2,2019-03-22 10:31:10,61125
MA2,2019-03-22 10:31:15,36919
MA2,2019-03-22 10:30:44,56788
MA2,2019-03-22 10:30:21,97394
MA2,2019-03-22 10:31:34,50656
MA2,2019-03-22 10:31:01,45900
MA2,2019-03-22 10:31:34,71194
MA2,2019-03-22 10:32:30,109416
MA2,2019-03-22 10:31:42,78540
MA2,2019-03-22 10:29:41,65635
MA2,2019-03-22 10:30:12,42608
MA2,2019-03-22 10:31:09,120710
MA2,2019-03-22 10:29:08,83955
MA2,2019-03-22 10:30:54,108669
MA2,2019-03-22 10:30:33,107963
MA2,2019-03-22 10:31:39,120021
MA2,2019-03-22 10:29:23,116030
MA2,2019-03-22 10:29:40,49787
MA2,2019-03-22 10:31:19,34178
MA2,2019-03-22 10:30:39,94515
MA2,2019-03-22 10:31:21,72036
MA2,2019-03-22 10:30:29,87773
MA2,2019-03-22 10:29:46,99407
MA2,2019-03-22 10:30:09,43702
MA2,2019-03-22 10:30:10,118803
MA2,2019-03-22 10:31:39,117202
MA2,2019-03-22 10:31:29,8526
MA2,2019-03-22 10:30:10,97810
MA2,2019-03-22 10:33:03,45155
MA2,2019-03-22 10:30:41,30824
MA2,2019-03-22 10:31:18,63061
MA2,2019-03-22 10:31:43,81841
MA2,2019-03-22 10:33:07,18562
MA2,2019-03-22 10:30:51,26228
MA2,2019-03-22 10:30:29,17933
MA2,2019-03-22 10:31:10,65018
MA2,2019-03-22 10:29:52,60418
MA2,2019-03-22 10:31:30,44447
MA2,2019-03-22 10:29:59,46777
MA2,2019-03-22 10:31:30,39599
MA2,2019-03-22 10:31:31,25121
MA2,2019-03-22 10:31:40,24972
MA2,2019-03-22 10:30:33,95439
MA2,2019-03-22 10:31:39,58889
MA2,2019-03-22 10:30:14,37095
MA2,2019-03-22 10:30:14,42008
MA2,2019-03-22 10:33:44,103903
MA2,2019-03-22 10:31:34,104533
MA2,2019-03-22 10:29:20,109994
MA2,2019-03-22 10:30:21,47760
MA2,2019-03-22 10:30:02,30737
MA2,2019-03-22 10:30:21,115468
MA2,2019-03-22 10:30:03,94520
MA2,2019-03-22 10:30:08,41860
MA2,2019-03-22 10:30:33,44944
MA2,2019-03-22 10:30:43,53968
MA2,2019-03-22 10:29:59,120660
MA2,2019-03-22 10:30:52,11494
MA2,2019-03-22 10:31:03,58046
MA2,2019-03-22 10:30:12,47883
MA2,2019-03-22 10:30:46,52153
MA2,2019-03-22 10:31:45,82079
MA2,2019-03-22 10:30:06,118091
MA2,2019-03-22 10:31:09,41818
MA2,2019-03-22 10:31:27,114152
MA2,2019-03-22 10:30:01,53314
MA2,2019-03-22 10:30:16,35642
MA2,2019-03-22 10:31:13,52160
MA2,2019-03-22 10:31:14,14205
MA2,2019-03-22 10:30:41,17689
MA2,2019-03-22 10:33:09,114467
MA2,2019-03-22 10:32:09,16826
MA2,2019-03-22 10:29:32,100747
MA2,2019-03-22 10:30:09,40738
MA2,2019-03-22 10:31:34,48288
MA2,2019-03-22 10:30:55,420
MA2,2019-03-22 10:30:04,28612
MA2,2019-03-22 10:31:12,51528
MA2,2019-03-22 10:31:18,114625
MA2,2019-03-22 10:31:41,60619
MA2,2019-03-22 10:32:19,89577
MA2,2019-03-22 10:31:20,74067
MA2,2019-03-22 10:30:29,108418
MA2,2019-03-22 10:31:30,112166
MA2,2019-03-22 10:29:30,76257
MA2,2019-03-22 10:30:31,45987
MA2,2019-03-22 10:31:42,109672
MA2,2019-03-22 10:31:47,88419
MA2,2019-03-22 10:30:08,87054
MA2,2019-03-22 10:31:06,7867
MA2,2019-03-22 10:30:51,44669
MA2,2019-03-22 10:31:39,74069
MA2,2019-03-22 10:31:06,61916
MA2,2019-03-22 10:30:52,6655
MA2,2019-03-22 10:31:10,4164
MA2,2019-03-22 10:30:08,109964
MA2,2019-03-22 10:30:21,89585
MA2,2019-03-22 10:29:52,46362
MA2,2019-03-22 10:30:41,30780
MA2,2019-03-22 10:29:21,46493
MA2,2019-03-22 10:30:30,71956
MA2,2019-03-22 10:31:12,30738
MA2,2019-03-22 10:33:20,24194
MA2,2019-03-22 10:31:57,15047
MA2,2019-03-22 10:30:14,46798
MA2,2019-03-22 10:31:31,85105
MA2,2018-09-10 13:07:09,40841
MA2,2019-03-22 09:46:52,31177
MA2,2018-09-18 22:49:06,108771
MA2,2018-09-14 00:34:57,79233
MA2,2018-11-15 17:51:30,106997
MA2,2018-12-18 20:12:18,115098
MA2,2018-12-11 08:46:02,21611
MA2,2018-01-14 03:24:30,20702
MA2,2018-01-10 03:20:28,93967
MA2,2018-05-05 03:09:28,50846
MA2,2019-01-08 03:25:19,8460
MA2,2019-01-16 03:17:59,20714
MA2,2018-09-02 03:05:45,107676
MA2,2018-08-05 03:28:14,114281
MA2,2018-08-14 21:19:49,109769
MA2,2018-08-14 20:01:39,85085
MA2,2018-06-27 11:54:59,88732
MA2,2018-06-28 15:05:48,54403
MA2,2018-08-15 09:21:23,52877
MA2,2018-06-07 18:37:02,26289
MA2,2018-08-16 02:35:16,107898
MA2,2018-08-14 17:43:39,102138
MA2,2018-08-14 19:09:07,115577
MA2,2018-08-15 01:07:53,56519
MA2,2018-08-14 17:55:15,29318
MA2,2018-08-14 19:49:37,23630
MA2,2018-08-20 12:50:48,46039
MA2,2018-05-17 20:24:01,87827
MA2,2018-08-14 21:26:04,78064
MA2,2018-10-11 16:16:38,36140
MA2,2018-06-27 11:10:01,112327
MA2,2018-12-04 18:38:55,93262
MA2,2019-04-13 07:32:33,37668
MA2,2018-08-14 21:04:04,88633
MA2,2018-06-21 21:36:02,7464
MA2,2018-03-14 11:11:03,89560
MA2,2018-08-14 19:43:09,3918
MA2,2018-05-17 19:06:01,87791
MA2,2018-08-15 00:59:01,81859
MA2,2018-08-14 18:24:46,69353
MA2,2018-08-14 23:03:35,86520
MA2,2018-08-14 19:11:07,61812
MA2,2018-08-14 17:06:15,107278
MA2,2018-01-02 22:45:16,58337
MA2,2018-03-29 04:41:05,41813
MA2,2018-05-15 20:05:34,73037
MA2,2019-12-19 23:03:46,117736
MA2,2018-05-18 11:20:01,51595
MA2,2018-06-07 22:31:02,44240
MA2,2018-08-14 20:59:18,116500
MA2,2018-06-21 21:40:02,28935
MA2,2018-08-14 19:06:06,111591
MA2,2018-04-04 00:32:32,44519
MA2,2019-06-21 21:21:17,77334
MA2,2018-05-17 21:15:01,39930
MA2,2018-05-03 14:50:04,92858
MA2,2018-07-23 11:15:49,90380
MA2,2018-05-17 21:11:01,58998
MA2,2018-12-04 20:33:40,102016
MA2,2018-01-02 19:15:32,33722
MA2,2018-12-04 19:56:13,81779
MA2,2018-12-03 18:45:03,30226
MA2,2018-08-17 01:33:18,32358
MA2,2018-08-12 11:15:36,38802
MA2,2018-04-28 14:41:01,105715
MA2,2018-11-06 16:06:04,27257
MA2,2019-05-24 17:14:49,96835
MA2,2018-07-23 14:05:01,63696
MA2,2018-05-03 02:28:13,52158
MA2,2018-08-14 22:29:21,105764
MA2,2018-08-14 17:40:48,68470
MA2,2018-08-14 20:06:22,110387
MA2,2018-08-28 14:38:23,21799
MA2,2018-08-16 02:04:34,60130
MA2,2018-07-23 11:08:19,30046
MA2,2018-05-02 21:32:01,52369
MA2,2018-06-27 11:12:01,37247
MA2,2018-03-30 22:58:01,119468
MA2,2018-05-17 18:23:01,43553
MA2,2018-04-06 06:56:03,46057
MA2,2018-05-17 15:27:01,13508
MA2,2018-01-03 12:44:32,74564
MA2,2018-04-04 01:02:33,103634
MA2,2018-09-22 13:09:26,108388
MA2,2018-07-23 03:19:07,70635
MA2,2018-10-11 17:26:22,2455
MA2,2018-08-14 21:31:46,105608
MA2,2018-08-14 18:55:01,64027
MA2,2019-05-17 23:43:23,65887
MA2,2018-10-21 11:55:59,87154
MA2,2018-10-11 22:31:24,95158
MA2,2018-05-30 17:20:19,50941
MA2,2018-03-29 02:31:07,25303
MA2,2018-05-30 17:24:01,23940
MA2,2018-06-01 19:07:01,17222
MA2,2018-06-04 12:30:05,9435
MA2,2019-06-19 17:41:39,80345
MA2,2018-07-20 20:19:23,64223
MA2,2019-03-16 03:26:09,100393
MA2,2019-01-15 03:29:22,46488
MA2,2018-03-28 03:03:39,34964
MA2,2018-10-26 03:24:12,10087
MA2,2018-01-24 09:45:49,62645
MA2,2019-01-30 03:04:10,44993
MA2,2019-03-22 10:26:05,111784
MA2,2019-03-22 10:25:49,17117
MA2,2019-03-22 10:25:55,105318
MA2,2019-03-22 10:27:20,105682
MA2,2019-03-22 10:26:54,4467
MA2,2019-03-22 10:27:33,3350
MA2,2019-03-22 10:25:53,106068
MA2,2019-02-06 03:28:55,112153
MA2,2019-03-22 10:25:21,47626
MA2,2019-03-22 10:27:19,23372
MA2,2019-03-22 10:27:44,29836
MA2,2019-03-22 10:26:53,60781
MA2,2018-06-24 13:51:52,2325
MA2,2019-03-22 10:25:23,250
MA2,2018-07-13 03:27:02,2327
MA2,2018-06-21 03:00:45,60981
MA2,2019-03-22 10:27:39,18756
MA2,2019-03-22 10:24:29,36431
MA2,2018-06-08 03:09:44,2316
MA2,2019-03-22 10:26:24,79015
MA2,2019-03-22 10:27:12,44688
MA2,2019-03-22 10:25:07,11853
MA2,2019-03-22 10:28:21,24309
MA2,2018-05-17 03:14:24,7829
MA2,2019-12-29 06:30:37,116580
MA2,2018-10-01 03:14:46,58115
MA2,2018-04-13 03:09:26,103580
MA2,2018-08-14 20:35:21,76550
MA2,2018-08-07 07:37:04,21856
MA2,2018-10-11 23:31:56,19389
MA2,2018-06-10 03:29:16,22356
MA2,2019-05-29 12:39:38,119334
MA2,2018-08-29 15:37:27,50035
MA2,2019-12-20 01:06:16,51573
MA2,2019-01-10 00:39:22,108318
MA2,2018-11-27 03:07:17,113952
MA2,2019-03-25 13:07:53,113915
MA2,2018-12-14 03:08:36,28731
MA2,2018-08-29 03:14:01,115138
MA2,2018-10-09 22:47:34,40004
MA2,2018-10-09 18:05:28,82549
MA2,2018-06-26 23:40:01,28409
MA2,2019-03-27 18:18:40,57148
MA2,2018-07-02 10:26:02,112078
MA2,2019-03-27 17:47:41,7471
MA2,2019-08-23 18:46:11,75677
MA2,2018-11-27 16:51:51,48979
MA2,2018-09-07 16:57:03,107877
MA2,2019-05-10 14:16:18,120692
MA2,2019-06-24 12:25:57,70132
MA2,2018-11-22 19:37:15,14002
MA2,2018-11-19 10:40:33,63440
MA2,2019-05-27 18:41:56,44269
MA2,2019-03-22 10:08:50,85588
MA2,2019-04-05 15:07:17,89678
MA2,2019-03-22 10:08:12,21008
MA2,2019-03-22 10:07:18,38924
MA2,2019-03-22 10:08:14,105413
MA2,2019-03-22 10:08:38,53185
MA2,2019-03-22 10:08:59,32063
MA2,2019-03-22 10:07:20,30328
MA2,2019-03-22 10:07:58,93576
MA2,2019-03-22 10:09:33,94826
MA2,2019-03-22 10:07:02,34772
MA2,2019-03-22 10:09:39,108467
MA2,2019-03-22 10:09:38,81119
MA2,2019-03-22 10:09:28,107416
MA2,2019-03-22 10:06:59,119112
MA2,2019-03-22 10:08:29,62775
MA2,2019-03-22 10:08:14,11576
MA2,2019-03-22 10:07:53,89895
MA2,2019-03-22 10:07:10,18561
MA2,2019-03-22 10:09:24,97726
MA2,2019-03-22 10:08:03,12533
MA2,2018-10-09 10:59:28,103087
MA2,2019-03-22 10:09:24,115812
MA2,2019-03-22 10:08:19,119198
MA2,2018-06-08 13:30:05,61606
MA2,2019-03-22 10:08:44,30293
MA2,2019-03-22 10:08:03,114151
MA2,2019-03-22 10:08:24,69628
MA2,2018-08-01 13:56:37,41883
MA2,2019-03-22 10:08:59,111602
MA2,2019-03-22 10:09:07,116203
MA2,2018-10-11 15:55:50,101132
MA2,2018-05-25 16:33:03,101618
MA2,2019-03-22 10:07:12,47525
MA2,2018-04-03 00:46:12,80906
MA2,2018-09-14 15:48:24,59508
MA2,2018-09-14 15:52:13,112927
MA2,2018-09-14 15:56:48,76076
MA2,2018-09-14 15:26:54,22364
MA2,2018-09-14 15:41:55,10867
MA2,2018-09-14 15:35:55,24966
MA2,2018-09-05 22:38:27,16200
MA2,2018-05-04 20:01:21,14889
MA2,2018-01-20 06:05:39,118852
MA2,2018-09-14 14:57:29,90819
MA2,2019-03-22 10:33:53,24793
MA2,2018-09-14 15:20:00,76806
MA2,2018-05-04 15:15:01,40315
MA2,2018-08-18 03:19:39,67243
MA2,2019-02-08 23:18:10,9046
MA2,2018-03-05 03:19:01,48339
MA2,2018-04-01 14:24:01,67011
MA2,2018-08-25 03:03:50,48576
MA2,2019-03-22 10:33:24,69672
MA2,2019-03-22 10:33:43,31766
MA2,2018-07-01 03:00:33,104609
MA2,2018-03-16 03:04:16,56764
MA2,2018-09-07 03:14:47,2683
MA2,2018-02-11 03:24:55,80502
MA2,2018-07-06 03:14:50,77543
MA2,2019-03-22 10:35:04,57447
MA2,2019-03-22 10:33:55,62256
MA2,2018-11-16 16:51:21,45925
MA2,2019-03-22 10:34:10,105345
MA2,2019-03-22 10:34:36,8790
MA2,2019-03-14 22:57:25,59142
MA2,2019-03-22 10:34:10,46308
MA2,2019-03-22 10:33:57,36228
MA2,2019-03-22 10:34:55,66311
MA2,2019-03-22 10:34:37,109442
MA2,2019-03-22 10:33:11,15931
MA2,2019-03-22 10:34:42,89486
MA2,2019-03-22 10:33:51,38190
MA2,2019-03-22 10:35:13,51443
MA2,2019-03-22 10:34:20,43219
MA2,2019-03-22 10:33:06,14283
MA2,2019-03-22 10:33:58,15765
MA2,2019-03-22 10:33:46,4663
MA2,2019-03-22 10:33:16,32350
MA2,2019-03-22 10:33:37,68496
MA2,2019-03-22 10:33:47,12699
MA2,2019-03-22 10:34:20,75786
MA2,2019-03-22 10:34:46,7425
MA2,2019-03-22 10:33:35,5638
MA2,2019-03-22 10:33:14,77375
MA2,2019-03-22 10:35:29,39475
MA2,2019-03-22 10:34:29,44812
MA2,2019-03-22 10:35:10,106553
MA2,2019-03-22 10:34:52,72124
MA2,2019-03-22 10:34:24,3358
MA2,2019-03-22 10:34:10,68457
MA2,2018-10-24 03:29:17,40753
MA2,2019-03-22 10:34:39,8697
MA2,2019-03-22 10:34:29,34933
MA2,2019-03-22 10:35:23,74486
MA2,2019-03-22 10:35:05,91997
MA2,2019-03-22 10:34:01,84006
MA2,2019-03-22 10:34:26,111031
MA2,2019-01-11 03:03:19,35274
MA2,2019-03-22 10:33:22,51651
MA2,2018-03-30 05:31:16,710
MA2,2018-01-23 03:19:46,3417
MA2,2019-03-22 10:33:33,99341
MA2,2019-03-22 10:35:15,107653
MA2,2018-09-01 03:05:41,4985
MA2,2018-07-26 03:09:48,48340
MA2,2019-03-22 10:33:17,46632
MA2,2019-03-22 10:05:53,93638
MA2,2019-03-22 10:06:24,76131
MA2,2018-05-11 03:18:35,48342
MA2,2019-03-22 10:06:33,90164
MA2,2019-03-22 10:05:52,49495
MA2,2019-03-22 10:06:10,104341
MA2,2019-03-22 10:06:28,90329
MA2,2019-03-22 10:06:28,3248
MA2,2018-09-18 03:13:59,78428
MA2,2019-02-28 03:17:47,94907
MA2,2019-02-19 03:28:08,45894
MA2,2018-12-20 03:25:10,120501
MA2,2018-04-30 03:09:51,4462
MA2,2018-07-18 03:00:48,35854
MA2,2018-01-31 03:05:20,109744
MA2,2018-08-09 03:19:29,29270
MA2,2018-08-19 03:18:11,87197
MA2,2018-03-13 12:50:22,13128
MA2,2018-08-10 03:00:46,70943
MA2,2018-08-20 03:28:58,70701
MA2,2019-03-25 03:07:53,42552
MA2,2018-07-14 01:36:28,81747
MA2,2019-07-01 00:18:54,30146
MA2,2019-07-01 00:18:52,55583
MA2,2019-03-22 10:26:34,10883
MA2,2019-03-22 10:25:11,70355
MA2,2019-03-22 10:25:01,86657
MA2,2019-03-22 10:27:48,4661
MA2,2019-03-22 10:26:51,94751
MA2,2019-03-22 10:27:11,37593
MA2,2019-03-22 10:25:12,22889
MA2,2019-03-22 10:27:49,32352
MA2,2019-03-22 10:26:44,59807
MA2,2019-03-22 10:26:25,52540
MA2,2019-03-22 10:25:23,30629
MA2,2019-03-22 10:26:04,64435
MA2,2019-03-22 10:27:44,46799
MA2,2019-03-22 10:25:37,57678
MA2,2019-03-22 10:25:30,15665
MA2,2019-03-22 10:27:12,9578
MA2,2019-03-22 10:26:35,60624
MA2,2019-03-22 10:25:13,66514
MA2,2019-03-22 10:25:29,31573
MA2,2019-03-22 10:24:48,85103
MA2,2019-03-22 10:27:30,103481
MA2,2019-03-22 10:25:36,36742
MA2,2019-01-17 03:18:37,2321
MA2,2019-03-22 10:25:48,101022
MA2,2019-03-22 10:25:21,55891
MA2,2018-05-16 13:51:53,21298
MA2,2018-11-14 03:19:22,42298
MA2,2019-08-13 17:58:04,30848
MA2,2018-09-19 00:50:23,110798
MA2,2019-12-20 15:44:30,18200
MA2,2018-11-27 16:48:31,109110
MA2,2018-10-11 22:13:22,84037
MA2,2018-10-11 22:33:26,116145
MA2,2019-12-20 19:31:36,92863
MA2,2018-10-11 21:52:55,105412
MA2,2018-12-06 03:18:49,3219
MA2,2019-04-17 11:47:28,13576
MA2,2018-11-01 01:34:07,25571
MA2,2018-11-23 11:05:41,34447
MA2,2018-11-24 03:02:22,34459
MA2,2018-07-31 00:59:33,78129
MA2,2018-08-27 20:50:18,25416
MA2,2019-06-21 05:05:29,73598
MA2,2019-01-17 03:14:17,62679
MA2,2019-01-09 03:12:46,62681
MA2,2019-01-17 03:14:18,62676
MA2,2019-01-17 03:14:17,62680
MA2,2019-01-17 03:14:17,62682
MA2,2019-01-17 03:14:17,62685
MA2,2018-11-13 10:05:13,112615
MA2,2018-01-04 22:50:36,8970
MA2,2018-04-16 19:52:21,36336
MA2,2018-08-19 11:56:45,75398
MA2,2019-02-27 21:23:31,55578
MA2,2019-11-02 19:26:04,77804
MA2,2019-04-17 20:22:27,31666
MA2,2018-03-12 08:31:37,862
MA2,2019-11-22 14:48:09,80157
MA2,2019-11-22 07:36:05,9503
MA2,2019-11-16 17:44:11,55033
MA2,2018-08-16 15:31:21,111219
MA2,2019-04-26 14:58:35,5505
MA2,2018-01-26 22:00:27,115999
MA2,2019-03-11 15:19:39,85829
MA2,2019-12-31 21:57:36,99516
MA2,2018-01-24 05:00:48,1073
MA2,2019-12-15 13:02:05,99606
MA2,2018-07-20 22:27:43,26590
MA2,2019-12-09 15:52:05,115046
MA2,2019-04-08 04:10:14,13356
MA2,2019-02-27 04:09:42,60242
MA2,2019-02-28 14:42:48,108470
MA2,2018-11-27 05:06:41,53361
MA2,2018-04-17 00:46:28,90436
MA2,2019-04-03 12:07:59,82390
MA2,2018-04-17 00:51:37,51612
MA2,2018-08-02 16:42:09,5754
MA2,2018-05-24 21:57:20,74871
MA2,2018-06-26 23:48:01,43927
MA2,2018-07-18 20:35:36,37400
MA2,2018-04-27 12:30:04,92283
MA2,2018-07-24 03:14:05,33329
MA2,2018-11-23 03:04:29,11436
MA2,2019-01-23 03:24:34,69755
MA2,2019-01-23 03:24:35,69762
MA2,2018-12-23 03:12:36,8682
MA2,2018-12-06 03:27:34,34175
MA2,2018-01-24 03:17:01,54998
MA2,2018-06-15 03:03:04,33285
MA2,2018-09-25 03:14:44,6661
MA2,2019-09-28 06:30:13,44830
MA2,2019-01-23 03:24:35,69760
MA2,2019-01-23 03:24:34,69752
MA2,2018-08-24 16:58:35,1524
MA2,2019-01-23 03:24:34,69759
MA2,2019-01-23 03:24:34,69756
MA2,2019-01-23 03:24:34,69758
MA2,2019-01-23 03:24:34,69751
MA2,2019-01-23 03:24:34,69754
MA2,2019-01-23 03:24:34,69753
MA2,2019-01-23 03:24:34,69757
MA2,2019-01-23 03:24:34,69761
MA2,2019-01-30 09:11:38,57238
MA2,2018-09-07 20:12:19,99395
MA2,2018-10-11 21:54:55,79929
MA2,2018-08-31 03:08:45,22951
MA2,2019-10-06 15:12:04,78229
MA2,2019-09-12 07:52:04,74854
MA2,2019-02-13 03:18:14,42988
MA2,2018-09-28 03:04:15,1528
MA2,2018-11-16 16:48:04,63389
MA2,2018-09-17 11:25:13,120798
MA2,2018-12-05 08:30:51,68111
MA2,2018-08-27 07:57:02,7984
MA2,2018-08-27 13:12:44,39792
MA2,2019-12-20 17:16:54,42433
MA2,2018-05-24 03:27:48,69095
MA2,2018-08-27 21:09:44,20261
MA2,2018-06-21 20:50:02,15463
MA2,2018-04-06 03:04:49,82431
MA2,2018-04-27 00:56:03,117576
MA2,2018-09-04 03:29:00,10954
MA2,2018-07-25 10:41:45,37622
MA2,2018-08-14 17:30:57,48483
MA2,2018-07-02 10:26:04,91385
MA2,2018-01-05 04:50:47,120019
MA2,2018-02-07 20:50:33,77980
MA2,2019-11-25 10:28:05,116971
MA2,2018-03-15 01:30:38,11044
MA2,2018-09-11 12:12:12,18614
MA2,2018-11-25 21:03:41,103432
MA2,2018-03-21 00:56:29,61121
MA2,2018-05-29 03:23:04,54468
MA2,2018-05-15 03:23:40,48231
MA2,2018-07-13 03:19:38,66786
MA2,2018-03-29 03:02:49,78689
MA2,2018-03-27 00:33:01,107880
MA2,2018-08-20 03:13:41,14084
MA2,2019-02-06 03:17:41,94897
MA2,2018-02-27 03:17:19,45054
MA2,2018-10-17 03:07:53,61031
MA2,2018-08-02 01:10:57,85119
MA2,2018-10-27 03:22:57,13786
MA2,2019-03-12 11:15:34,4653
MA2,2018-08-10 01:26:01,76008
MA2,2018-01-30 03:18:10,54610
MA2,2018-08-14 20:16:46,3332
MA2,2018-08-14 21:18:56,38316
MA2,2018-12-02 03:03:08,22980
MA2,2019-01-10 03:07:48,33016
MA2,2018-08-16 05:36:06,61074
MA2,2018-08-14 17:35:57,68615
MA2,2018-09-05 17:43:42,15634
MA2,2018-08-14 17:00:18,106219
MA2,2019-03-12 10:55:41,16513
MA2,2018-06-08 00:31:02,34095
MA2,2019-12-24 15:48:06,112045
MA2,2018-04-08 23:32:03,6583
MA2,2018-08-14 21:46:49,17621
MA2,2018-08-14 16:22:15,114967
MA2,2018-06-07 18:38:02,12173
